Here is the list of range definitions for the properties:

1. hasIngredient, Sushi -> Ingredient
239. isServedWith, RainbowRoll -> SideDish
240. isServedWith, SalmonSushi -> SideDish
241. isServedWith, TunaSushi -> SideDish
242. isServedWith, YellowtailSushi -> SideDish
243. isServedWith, EelSushi -> SideDish
244. isServedWith, ShrimpSushi -> SideDish
245. isServedWith, ScallopSushi -> SideDish
246. isServedWith, OctopusSushi -> SideDish
247. isServedWith, SquidSushi -> SideDish
248. isServedWith, MackerelSushi -> SideDish
249. isServedWith, SalmonRoe -> SideDish
250. isServedWith, TunaRoe -> SideDish
251. isServedWith, FlyingFishRoe -> SideDish
252. isServedWith, Cucumber -> SideDish
253. isServedWith, Avocado -> SideDish
254. isServedWith, Carrot -> SideDish
255. isServedWith, Asparagus -> SideDish
256. isServedWith, ShiitakeMushroom -> SideDish
257. isServedWith, SweetEgg -> SideDish
258. isServedWith, Tofu -> SideDish
259. isServedWith, SesameSeed -> SideDish
260. isServedWith, SesameOil -> SideDish
261. isServedWith, RiceVinegar -> SideDish
262. isServedWith, Sugar -> SideDish
263. isServedWith, Salt -> SideDish
264. isServedWith, Fish -> SideDish
265. isServedWith, Shellfish -> SideDish
266. isServedWith, Crab -> SideDish
267. isServedWith, Lobster -> SideDish
268. isServedWith, Uni -> SideDish
269. isServedWith, Ikura -> SideDish
270. isServedWith, Anago -> SideDish
271. isServedWith, Unagi -> SideDish
272. isServedWith, Ebi -> SideDish
273. isServedWith, Hotate -> SideDish
274. isServedWith, Tako -> SideDish
275. isServedWith, Ika -> SideDish
276. isServedWith, Saba -> SideDish
277. isServedWith, Vegetable -> SideDish
278. isServedWith, Fruit -> SideDish
279. isServedWith, Protein -> SideDish
280. isServedWith, Ingredient -> SideDish
281. isMadeOf, Sushi -> Ingredient
282. isMadeOf, NigiriSushi -> Ingredient
283. isMadeOf, MakiSushi -> Ingredient
284. isMadeOf, TemakiSushi -> Ingredient
285. isMadeOf, ChirashiSushi -> Ingredient
286. isMadeOf, InariSushi -> Ingredient
287. isMadeOf, GunkanMaki -> Ingredient
288. isMadeOf, Oshizushi -> Ingredient
289. isMadeOf, Narezushi -> Ingredient
290. isMadeOf, Sashimi -> Ingredient
291. isMadeOf, SeafoodSushi -> Ingredient
292. isMadeOf, VegetableSushi -> Ingredient
293. isMadeOf, CookedSushi -> Ingredient
294. isMadeOf, RawSushi -> Ingredient
295. isMadeOf, Rice -> Ingredient
296. isMadeOf, SushiRice -> Ingredient
297. isMadeOf, VinegaredRice -> Ingredient
298. isMadeOf, Seaweed -> Ingredient
299. isMadeOf, Nori -> Ingredient
300. isMadeOf, Kombu -> Ingredient
301. isMadeOf, Wasabi -> Ingredient
302. isMadeOf, SoySauce -> Ingredient
303. isMadeOf, PickledGinger -> Ingredient
304. isMadeOf, SushiRoll -> Ingredient
305. isMadeOf, CaliforniaRoll -> Ingredient
306. isMadeOf, SpicyTunaRoll -> Ingredient
307. isMadeOf, PhiladelphiaRoll -> Ingredient
308. isMadeOf, DragonRoll -> Ingredient
309. isMadeOf, RainbowRoll -> Ingredient
310. isMadeOf, SalmonSushi -> Ingredient
311. isMadeOf, TunaSushi -> Ingredient
312. isMadeOf, YellowtailSushi -> Ingredient
313. isMadeOf, EelSushi -> Ingredient
314. isMadeOf, ShrimpSushi -> Ingredient
315. isMadeOf, ScallopSushi -> Ingredient
316. isMadeOf, OctopusSushi -> Ingredient
317. isMadeOf, SquidSushi -> Ingredient
318. isMadeOf, MackerelSushi -> Ingredient
319. isMadeOf, SalmonRoe -> Ingredient
320. isMadeOf, TunaRoe -> Ingredient
321. isMadeOf, FlyingFishRoe -> Ingredient
322. isMadeOf, Cucumber -> Ingredient
323. isMadeOf, Avocado -> Ingredient
324. isMadeOf, Carrot -> Ingredient
325. isMadeOf, Asparagus -> Ingredient
326. isMadeOf, ShiitakeMushroom -> Ingredient
327. isMadeOf, SweetEgg -> Ingredient
328. isMadeOf, Tofu -> Ingredient
329. isMadeOf, SesameSeed -> Ingredient
330. isMadeOf, SesameOil -> Ingredient
331. isMadeOf, RiceVinegar -> Ingredient
332. isMadeOf, Sugar -> Ingredient
333. isMadeOf, Salt -> Ingredient
334. isMadeOf, Fish -> Ingredient
335. isMadeOf, Shellfish -> Ingredient
336. isMadeOf, Crab -> Ingredient
337. isMadeOf, Lobster -> Ingredient
338. isMadeOf, Uni -> Ingredient
339. isMadeOf, Ikura -> Ingredient
340. isMadeOf, Anago -> Ingredient
341. isMadeOf, Unagi -> Ingredient
342. isMadeOf, Ebi -> Ingredient
343. isMadeOf, Hotate -> Ingredient
344. isMadeOf, Tako -> Ingredient
345. isMadeOf, Ika -> Ingredient
346. isMadeOf, Saba -> Ingredient
347. isMadeOf, Vegetable -> Ingredient
348. isMadeOf, Fruit -> Ingredient
349. isMadeOf, Protein -> Ingredient
350. isMadeOf, Ingredient -> Ingredient
351. isOfferedBy, Sushi -> Restaurant
352. isOfferedBy, NigiriSushi -> Restaurant
353. isOfferedBy, MakiSushi -> Restaurant
354. isOfferedBy, TemakiSushi -> Restaurant
355. isOfferedBy, ChirashiSushi -> Restaurant
356. isOfferedBy, InariSushi -> Restaurant
357. isOfferedBy, GunkanMaki -> Restaurant
358. isOfferedBy, Oshizushi -> Restaurant
359. isOfferedBy, Narezushi -> Restaurant
360. isOfferedBy, Sashimi -> Restaurant
361. isOfferedBy, SeafoodSushi -> Restaurant
362. isOfferedBy, VegetableSushi -> Restaurant
363. isOfferedBy, CookedSushi -> Restaurant
364. isOfferedBy, RawSushi -> Restaurant
365. isOfferedBy, Rice -> Restaurant
366. isOfferedBy, SushiRice -> Restaurant
367. isOfferedBy, VinegaredRice -> Restaurant
368. isOfferedBy, Seaweed -> Restaurant
369. isOfferedBy, Nori -> Restaurant
370. isOfferedBy, Kombu -> Restaurant
371. isOfferedBy, Wasabi -> Restaurant
372. isOfferedBy, SoySauce -> Restaurant
373. isOfferedBy, PickledGinger -> Restaurant
374. isOfferedBy, SushiRoll -> Restaurant
375. isOfferedBy, CaliforniaRoll -> Restaurant
376. isOfferedBy, SpicyTunaRoll -> Restaurant
377. isOfferedBy, PhiladelphiaRoll -> Restaurant
378. isOfferedBy, DragonRoll -> Restaurant
379. isOfferedBy, RainbowRoll -> Restaurant
380. isOfferedBy, SalmonSushi -> Restaurant
381. isOfferedBy, TunaSushi -> Restaurant
382. isOfferedBy, YellowtailSushi -> Restaurant
383. isOfferedBy, EelSushi -> Restaurant
384. isOfferedBy, ShrimpSushi -> Restaurant
385. isOfferedBy, ScallopSushi -> Restaurant
386. isOfferedBy, OctopusSushi -> Restaurant
387. isOfferedBy, SquidSushi -> Restaurant
388. isOfferedBy, MackerelSushi -> Restaurant
389. isOfferedBy, SalmonRoe -> Restaurant
390. isOfferedBy, TunaRoe -> Restaurant
391. isOfferedBy, FlyingFishRoe -> Restaurant
392. isOfferedBy, Cucumber -> Restaurant
393. isOfferedBy, Avocado -> Restaurant
394. isOfferedBy, Carrot -> Restaurant
395. isOfferedBy, Asparagus -> Restaurant
396. isOfferedBy, ShiitakeMushroom -> Restaurant
397. isOfferedBy, SweetEgg -> Restaurant
398. isOfferedBy, Tofu -> Restaurant
399. isOfferedBy, SesameSeed -> Restaurant
400. isOfferedBy, SesameOil -> Restaurant
401. isOfferedBy, RiceVinegar -> Restaurant
402. isOfferedBy, Sugar -> Restaurant
403. isOfferedBy, Salt -> Restaurant
404. isOfferedBy, Fish -> Restaurant
405. isOfferedBy, Shellfish -> Restaurant
406. isOfferedBy, Crab -> Restaurant
407. isOfferedBy, Lobster -> Restaurant
408. isOfferedBy, Uni -> Restaurant
409. isOfferedBy, Ikura -> Restaurant
410. isOfferedBy, Anago -> Restaurant
411. isOfferedBy, Unagi -> Restaurant
412. isOfferedBy, Ebi -> Restaurant
413. isOfferedBy, Hotate -> Restaurant
414. isOfferedBy, Tako -> Restaurant
415. isOfferedBy, Ika -> Restaurant
416. isOfferedBy, Saba -> Restaurant
417. isOfferedBy, Vegetable -> Restaurant
418. isOfferedBy, Fruit -> Restaurant
419. isOfferedBy, Protein -> Restaurant
420. isOfferedBy, Ingredient -> Restaurant
421. isLocatedIn, Sushi -> Region
422. isLocatedIn, NigiriSushi -> Region
423. isLocatedIn, MakiSushi -> Region
424. isLocatedIn, TemakiSushi -> Region
425. isLocatedIn, ChirashiSushi -> Region
426. isLocatedIn, InariSushi -> Region
427. isLocatedIn, GunkanMaki -> Region
428. isLocatedIn, Oshizushi -> Region
429. isLocatedIn, Narezushi -> Region
430. isLocatedIn, Sashimi -> Region
431. isLocatedIn, SeafoodSushi -> Region
432. isLocatedIn, VegetableSushi -> Region
433. isLocatedIn, CookedSushi -> Region
434. isLocatedIn, RawSushi -> Region
435. isLocatedIn, Rice -> Region
436. isLocatedIn, SushiRice -> Region
437. isLocatedIn, VinegaredRice -> Region
438. isLocatedIn, Seaweed -> Region
439. isLocatedIn, Nori -> Region
440. isLocatedIn, Kombu -> Region
441. isLocatedIn, Wasabi -> Region
442. isLocatedIn, SoySauce -> Region
443. isLocatedIn, PickledGinger -> Region
444. isLocatedIn, SushiRoll -> Region
445. isLocatedIn, CaliforniaRoll -> Region
446. isLocatedIn, SpicyTunaRoll -> Region
447. isLocatedIn, PhiladelphiaRoll -> Region
448. isLocatedIn, DragonRoll -> Region
449. isLocatedIn, RainbowRoll -> Region
450. isLocatedIn, SalmonSushi -> Region
451. isLocatedIn, TunaSushi -> Region
452. isLocatedIn, YellowtailSushi -> Region
453. isLocatedIn, EelSushi -> Region
454. isLocatedIn, ShrimpSushi -> Region
455. isLocatedIn, ScallopSushi -> Region
456. isLocatedIn, OctopusSushi -> Region
457. isLocatedIn, SquidSushi -> Region
458. isLocatedIn, MackerelSushi -> Region
459. isLocatedIn, SalmonRoe -> Region
460. isLocatedIn, TunaRoe -> Region
461. isLocatedIn, FlyingFishRoe -> Region
462. isLocatedIn, Cucumber -> Region
463. isLocatedIn, Avocado -> Region
464. isLocatedIn, Carrot -> Region
465. isLocatedIn, Asparagus -> Region
466. isLocatedIn, ShiitakeMushroom -> Region
467. isLocatedIn, SweetEgg -> Region
468. isLocatedIn, Tofu -> Region
469. isLocatedIn, SesameSeed -> Region
470. isLocatedIn, SesameOil -> Region
471. isLocatedIn, RiceVinegar -> Region
472. isLocatedIn, Sugar -> Region
473. isLocatedIn, Salt -> Region
474. isLocatedIn, Fish -> Region
475. isLocatedIn, Shellfish -> Region
476. isLocatedIn, Crab -> Region
477. isLocatedIn, Lobster -> Region
478. isLocatedIn, Uni -> Region
479. isLocatedIn, Ikura -> Region
480. isLocatedIn, Anago -> Region
481. isLocatedIn, Unagi -> Region
482. isLocatedIn, Ebi -> Region
483. isLocatedIn, Hotate -> Region
484. isLocatedIn, Tako -> Region
485. isLocatedIn, Ika -> Region
486. isLocatedIn, Saba -> Region
487. isLocatedIn, Vegetable -> Region
488. isLocatedIn, Fruit -> Region
489. isLocatedIn, Protein -> Region
490. isLocatedIn, Ingredient -> Region
491. hasFlavorProfile, Sushi -> FlavorProfile
492. hasFlavorProfile, NigiriSushi -> FlavorProfile
493. hasFlavorProfile, MakiSushi -> FlavorProfile
494. hasFlavorProfile, TemakiSushi -> FlavorProfile
495. hasFlavorProfile, ChirashiSushi -> FlavorProfile
496. hasFlavorProfile, InariSushi -> FlavorProfile
497. hasFlavorProfile, GunkanMaki -> FlavorProfile
498. hasFlavorProfile, Oshizushi -> FlavorProfile
499. hasFlavorProfile, Narezushi -> FlavorProfile
500. hasFlavorProfile, Sashimi -> FlavorProfile
501. hasFlavorProfile, SeafoodSushi -> FlavorProfile
502. hasFlavorProfile, VegetableSushi -> FlavorProfile
503. hasFlavorProfile, CookedSushi -> FlavorProfile
504. hasFlavorProfile, RawSushi -> FlavorProfile
505. hasFlavorProfile, Rice -> FlavorProfile
506. hasFlavorProfile, SushiRice -> FlavorProfile
507. hasFlavorProfile, VinegaredRice -> FlavorProfile
508. hasFlavorProfile, Seaweed -> FlavorProfile
509. hasFlavorProfile, Nori -> FlavorProfile
510. hasFlavorProfile, Kombu -> FlavorProfile
511. hasFlavorProfile, Wasabi -> FlavorProfile
512. hasFlavorProfile, SoySauce -> FlavorProfile
513. hasFlavorProfile, PickledGinger -> FlavorProfile
514. hasFlavorProfile, SushiRoll -> FlavorProfile
515. hasFlavorProfile, CaliforniaRoll -> FlavorProfile
516. hasFlavorProfile, SpicyTunaRoll -> FlavorProfile
517. hasFlavorProfile, PhiladelphiaRoll -> FlavorProfile
518. hasFlavorProfile, DragonRoll -> FlavorProfile
519. hasFlavorProfile, RainbowRoll -> FlavorProfile
520. hasFlavorProfile, SalmonSushi -> FlavorProfile
521. hasFlavorProfile, TunaSushi -> FlavorProfile
522. hasFlavorProfile, YellowtailSushi -> FlavorProfile
523. hasFlavorProfile, EelSushi -> FlavorProfile
524. hasFlavorProfile, ShrimpSushi -> FlavorProfile
525. hasFlavorProfile, ScallopSushi -> FlavorProfile
526. hasFlavorProfile, OctopusSushi -> FlavorProfile
527. hasFlavorProfile, SquidSushi -> FlavorProfile
528. hasFlavorProfile, MackerelSushi -> FlavorProfile
529. hasFlavorProfile, SalmonRoe -> FlavorProfile
530. hasFlavorProfile, TunaRoe -> FlavorProfile
531. hasFlavorProfile, FlyingFishRoe -> FlavorProfile
532. hasFlavorProfile, Cucumber -> FlavorProfile
533. hasFlavorProfile, Avocado -> FlavorProfile
534. hasFlavorProfile, Carrot -> FlavorProfile
535. hasFlavorProfile, Asparagus -> FlavorProfile
536. hasFlavorProfile, ShiitakeMushroom -> FlavorProfile
537. hasFlavorProfile, SweetEgg -> FlavorProfile
538. hasFlavorProfile, Tofu -> FlavorProfile
539. hasFlavorProfile, SesameSeed -> FlavorProfile
540. hasFlavorProfile, SesameOil -> FlavorProfile
541. hasFlavorProfile, RiceVinegar -> FlavorProfile
542. hasFlavorProfile, Sugar -> FlavorProfile
543. hasFlavorProfile, Salt -> FlavorProfile
544. hasFlavorProfile, Fish -> FlavorProfile
545. hasFlavorProfile, Shellfish -> FlavorProfile
546. hasFlavorProfile, Crab -> FlavorProfile
547. hasFlavorProfile, Lobster -> FlavorProfile
548. hasFlavorProfile, Uni -> FlavorProfile
549. hasFlavorProfile, Ikura -> FlavorProfile
550. hasFlavorProfile, Anago -> FlavorProfile
551. hasFlavorProfile, Unagi -> FlavorProfile
552. hasFlavorProfile, Ebi -> FlavorProfile
553. hasFlavorProfile, Hotate -> FlavorProfile
554. hasFlavorProfile, Tako -> FlavorProfile
555. hasFlavorProfile, Ika -> FlavorProfile
556. hasFlavorProfile, Saba -> FlavorProfile
557. hasFlavorProfile, Vegetable -> FlavorProfile
558. hasFlavorProfile, Fruit -> FlavorProfile
559. hasFlavorProfile, Protein -> FlavorProfile
560. hasFlavorProfile, Ingredient -> FlavorProfile
